risk_id,asset_or_process,threat_or_event,business_impact,existing_controls,likelihood_1_5,impact_1_5,inherent_score,treatment,planned_action,owner,due_date,residual_likelihood_1_5,residual_impact_1_5,residual_score,review_date,status
R-001,Production access,Unauthorized privileged access,Customer data disclosure and service disruption,MFA for administrators,5,5,25,Mitigate,Create a CA to enfore MFA for all administrators for both employers and contractors,,,5,5,25,09/16/26,COMPLETE
R-002,Software supply chain,Vulnerable dependency reaches production,Application compromise,Occasional scanning,5,5,25,Mitigate,Add deep dependecy scanning and thorough code analysis to see if there is a large change or utilize third party vendor,,,5,5,25,09/16/26,COMPLETE
R-003,Change management,Unreviewed change reaches production,Outage or security regression,Pull requests normally used,3,5,15,Mitigate,Require sign-off from another individual/owner of that module/aspect of the application and AI review,,,1,1,1,09/16/26,COMPLETE
R-004,Support and logging,Customer data enters inappropriate system,Confidentiality breach,Informal staff guidance,2,4,8,Mitigate,Carefully plan and design system controls with review from specalized security personel,,,5,5,25,09/16/26,COMPLETE
R-005,Backup and recovery,Backup cannot be restored within RTO,Extended outage,Daily backups,1,5,5,Mitigate,Setup and build dedicated backup windows alongside systems + infra,,,1,1,1,09/16/26,COMPLETE
R-006,Critical vendors,Provider failure or compromise,Loss of service or confidentiality,Contracts exist,5,5,25,Mitigate,Customer data by default is not accessible by InvoiceFlow perosnel/customer support it is encrypted with a clients key to ensure maximum integrity,,,3,5,15,09/16/26,COMPLETE
R-007,Customer support,Fatal mistake caused by customer support,Data corruption and/or loss,Rollbacks and snapshots before sensitive commands,4,2,8,Mitigate,Sensitive commands are by default blocked and require an explanation of why they are being ran and support has option to snapshot/perform a mitigation for specific command incase of issue,,,4,3,12,09/16/26,COMPLETE
R-008,Production access,Misconfiguration of Cloud Provider,Sensistive data and service offline,Requires approval from 2 senior engineers for networking related changes,2,5,10,Mitigate,JIT permissions are utilized to ensure that certain changes must require explicity approval and additional process,,,1,1,1,09/16/26,COMPLETE
R-009,Change management,Credentials are commited,"CI/CD line broken, leaked credentials",<Tool 1> is used to scan and remove these before it reaches remote,2,2,4,Mitigate,We will setup GitLeaks and/or other software to filter/block commits made to remote and/or reject commits made that have credentials,,,2,2,4,09/16/26,COMPLETE
R-010,Production access,Server/Employee computer infected,Customer data disclosure and service disruption,Setup XDR/MDR defense and keep it comprehensive,5,3,15,Mitigate,We have CrowdStrike EDR in place and have a security engineer,,,5,5,25,09/16/26,COMPLETE
R-011,Production access,Admin enables unknown/untested integration,Customer data disclosure and service disruption,Audit integrations for security issues and ensure validated end to end,2,5,10,Mitigate,Have a custom AST in place alongside AI to look through the codebase and ensure that scanning is filtered and handleded approprately,,,5,5,25,09/16/26,COMPLETE
